count_id,observed_volume,lon,lat,source_observed_column,route_id,road_name,county,station_desc,location_id,object_id
S2009030042,3694.00000000,-76.65990998,39.43601407,AADT,03000CO00798  01WW**************,Timonium Rd,Baltimore,Timonium Rd - .10 Mile East Of Mays Chapel Rd,S2009030042,1
B0740,10361.00000000,-76.49097679,38.98292291,AADT,02000MD00450  01EE**************,King George St,Anne Arundel,Md450-.10 Mi W Of College Ave,B0740,2
B1761,10013.00000000,-76.99006366,38.52578502,AADT,08000MD00006  01EE**************,Port Tobacco Rd,Charles,Md6-.60 Mi W Of Us301,B1761,3
S1999030111,6331.00000000,-76.74270044,39.31247244,AADT,03000RP00695  02NNIS17        03,Ramp 3 Fr Md 122 Eb To Ramp 2 (to Is695),Baltimore,Exit 17 Ramp 3 Fr Md 122 Eb To Ramp 2 (to Is 695 Nb),S1999030111,4
S2012030129,6011.00000000,-76.54017388,39.40369847,AADT,03000CO03534  01NN**************,Waltham Woods Rd,Baltimore,Waltham Woods Rd - Between Md 41 & Cider Mill Rd,S2012030129,5
B0845,52410.00000000,-76.68857726,39.09506923,AADT,02000MD00032  01NN**************,No Name,Anne Arundel,Md32-.50 Mi S Of Md170,B0845,6
S2011040633,4502.00000000,-76.43398438,38.37222536,AADT,04000CO01431  01NN**************,Thunderbird Dr,Calvert,Thunderbird Dr Between Gunsmoke Tr & Lariat Ln,S2011040633,7
S2013060375,2720.00000000,-76.92625054,39.58798809,AADT,06000CO00448  01EE**************,Coon Club Rd,Carroll,Coon Club Rd - .10 Mile East Of Gorsuch Rd N,S2013060375,8
S2010030147,1983.00000000,-76.64505781,39.70451577,AADT,03000RP00083  02SSIS36        05,Ramp 5 Fr Is 83 Sb To Md 439,Baltimore,Exit 36 Ramp 5 Fr Is 83 Sb To Md 439,S2010030147,9
B010029,492.00000000,-78.76149359,39.63621921,AADT,01041MU03210  01EE**************,E Second St,Allegany,E Second St-.between Arch St & Grand Ave (one Way),B010029,10
S2010020103,3393.00000000,-76.64730860,39.14342281,AADT,02000RP00097  02EEIS13        06,Ramp 6 Fr Md 174 Eb To Is 97 Sb,Anne Arundel,Exit 13 Ramp 6 Fr Md 174 Eb To Is 97 Sb ,S2010020103,11
B0639,45110.00000000,-76.70249347,38.80999706,AADT,02000MD00004  01NN**************,Southern Md Blvd,Anne Arundel,Md4-.20 Mi S Of Md408,B0639,12
S2002030025,2711.00000000,-76.53143274,39.38730436,AADT,03000RP00695  02EEIS31        06,Ramp 6 Fr Is 695 Eb To Md 147 Sb,Baltimore,Exit 31 Ramp 6 Fr Is 695 Eb To Md 147 Sb,S2002030025,13
S2005060005,2910.00000000,-77.16336769,39.36067940,AADT,06000RP00070  02NNIS68        01,Ramp 1 Fr Md 27 Nb To Is 70 Wb,Carroll,Exit 68 Ramp 1 Fr Md 27 Nb To Is 70 Wb,S2005060005,14
S2010030121,11040.00000000,-76.71123827,39.29990503,AADT,03000RP00070  02SSIS94        03,Liberty Rd,Baltimore,Exit 94 Ramp 3 Fr Is 70 Eb To Md 122 Nb ,S2010030121,15
S2009030052,3305.00000000,-76.52877522,39.35621984,AADT,03000CO04234  01SS**************,Maple Ave,Baltimore,Maple Ave - .01 Mile East Of Us 1,S2009030052,16
S2001030126,9743.00000000,-76.45679915,39.31736721,AADT,03000RP00702  02SSMD1         05,Ramp 5 Fr Md 702 Sb To Md 150 Eb,Baltimore,Exit 1 Ramp 5 Fr Md 702 Sb To Md 150 Eb,S2001030126,17
B100060,255.00000000,-77.30988896,39.57933464,AADT,10000CO00519  01NN**************,Legore Rd,Frederick,Legore Rd-.10 Mi S Of Legore Bridge Rd,B100060,18
B0929,4422.00000000,-76.70813899,39.49005546,AADT,03000MD00025  01NN**************,Falls Rd,Baltimore,Md25-.20 Mi S Of Knox Ave,B0929,19
B010039,1103.00000000,-78.70773696,39.71295384,AADT,01000MD00807  01NN**************,Bedford Rd,Allegany,Md807-.30 Mi S Of Us220,B010039,20
S2007020018,8932.00000000,-76.78045713,39.11535734,AADT,02000RP00295  02SSMD4         06,Ramp 6 Fr Md 32 Eb To Md 295 Sb,Anne Arundel,Exit 4 Ramp 6 Fr Md 32 Eb To Md 295 Sb,S2007020018,21
S2012021530,12630.00000000,-76.62356271,39.09175804,AADT,02000CO05461  01NN**************,Veterans Hwy,Anne Arundel,Veterans Hwy -.20 Mi South Of Benfield Blvd,S2012021530,22
S2014120315,105.00000000,-76.28943808,39.49324029,AADT,12000CO02668  01SS**************,Lilly Ct,Harford,Lilly Ct - 200ft South Of Ridgecrest Way,S2014120315,23
B1438,5884.00000000,-75.79310000,38.69605471,AADT,05000MD00318  01EE**************,Preston Rd,Caroline,Md318-.20 Mi W Of Md313,B1438,24
S2006020031,1084.00000000,-76.78497144,39.12256727,AADT,02000RP00032  02NNMD11        02,Ramp 2 Fr Md 32 Wb To Guilford Rd,Anne Arundel,Exit 11 Ramp 2 Fr Md 32 Wb To Guilford Rd,S2006020031,25
B1676,7313.00000000,-75.98038408,39.71808594,AADT,07000MD00272  01NN**************,Chrome Rd,Cecil,Md272-.30 Mi S Of Pennsylvania St/l,B1676,26
B1547,10545.00000000,-77.01563676,39.35404845,AADT,06000MD00097  01NN**************,Old Washington Rd,Carroll,Md97-.10 Mi N Of Howard Co/l,B1547,27
S2010030111,843.00000000,-76.50568385,39.37966781,AADT,03000RP00043  02WWMD1         05,Ramp 5 Fr Us 1 Sb To Md 43 Eb,Baltimore,Exit 1 Ramp 5 Fr Us 1 Sb To Md 43 Eb ,S2010030111,28
S2011010311,1732.00000000,-78.92559485,39.65324094,AADT,01060MU00120  01SS**************,Bowery St,Allegany,Bowery St - Between Mill St & Paul St (one Way),S2011010311,29
S2009030045,4201.00000000,-76.70524162,39.37210915,AADT,03000CO01576  01SS**************,Seven Mile La,Baltimore,Seven Mile La - .02 Mile South Of Marnat Rd,S2009030045,30
B070013,2732.00000000,-75.81598165,39.52457358,AADT,07000MD00537C 01NN**************,No Name,Cecil,Md537c-.20 Mi N Of Md213,B070013,31
B030118,4772.00000000,-76.83585697,39.42950653,AADT,03000CO00543  01EE**************,Church Rd,Baltimore,Church Rd-.10 Mi E Berrymans La,B030118,32
B0730,19500.00000000,-76.67134804,38.99430035,AADT,02000MD00424  01NN**************,Davidsonville Rd,Anne Arundel,Md424-.10 Mi N Of Md450,B0730,33
S2014090612,894.00000000,-75.87545070,38.69306601,AADT,09000CO00344  01SS**************,Williamsburg Church Rd,Dorchester,Williamsburg Church Rd - .05 Mi S Of Md 318,S2014090612,34
S1999030095,27952.00000000,-76.74783463,39.37543682,AADT,03000RP00695  02WWIS19        08,Ramp 8 Fr Is 695 Sb To Is 795 Wb,Baltimore,Exit 19 Ramp 8 Fr Is 695 Wb To Is 795 Nb,S1999030095,35
S2013030258,72.00000000,-76.51223000,39.22925208,AADT,03000RP00695  02SSMD44        09,Ramp 9 Fr Md 695 Sb To Md 695 C,Baltimore,Exit 44 Ramp 9 Fr Md 695 Sb To Md 695c,S2013030258,36
B1512,10540.00000000,-76.94217002,39.60878514,AADT,06000MD00027  01NN**************,Manchester Rd,Carroll,Md27-.60 Mi N Of Md482,B1512,37
B1065,27032.00000000,-76.50729048,39.29078186,AADT,03000MD00151  01NN**************,North Point Blvd,Baltimore,Md151-.20 Mi N Of Merritt Blvd,B1065,38
S2017010199,5442.00000000,-78.77054918,39.64870234,AADT,01041MU01992  01NN**************,S Lee St,Allegany,S Lee St - .04 Mile North Of Beall St,S2017010199,39
S2000020121,6153.00000000,-76.64301327,39.16908816,AADT,02000RP00097  02NNIS15        09,Ramp 9 Fr Md 162a To Is 97 Sb,Anne Arundel,Exit 15 Ramp 9 Fr Md 162a To Is 97 Sb,S2000020121,40
S2011020753,4572.00000000,-76.53553570,38.80438422,AADT,02000CO03414  01EE**************,Franklin Manor Rd                       ,Anne Arundel,Franklin Manor Rd - .10 Mile East Of Md 256,S2011020753,41
S2011080647,7232.00000000,-76.95034121,38.53913270,AADT,08000CO00110  01NN**************,Radio Station Rd,Charles,Radio Station Rd -.10 Mile North Of Md 488,S2011080647,42
S2010030165,2943.00000000,-76.70263374,39.22066702,AADT,03000RP00195  02SSIS3         07,Ramp 7 Fr Us 1 Wb To Is 195 Sb,Baltimore,Exit 3 Ramp 7 Fr Us 1 Wb To Is 195 Sb ,S2010030165,43
B030082,3704.00000000,-76.56765365,39.55963393,AADT,03000CO00229  01EE**************,Monkton Rd,Baltimore,Monkton Rd-.10 Mi W Of Old York Rd ,B030082,44
S2000030088,8153.00000000,-76.49261726,39.33595164,AADT,03000RP00695  02SSMD34        05,Ramp 5 Fr Ramp 8 (fr Md 695) To Md 7 Eb,Baltimore,Exit 34 Ramp 5 Fr Ramp 8 (fr Md 695 Sb) To Md 7 Eb,S2000030088,45
B100058,425.00000000,-77.31856744,39.68325788,AADT,10000CO00063  01SS**************,Keysville Rd,Frederick,Keysville Rd-.10 Mi E Of Dry Bridge Rd,B100058,46
S1999030167,1821.00000000,-76.68564035,39.24853408,AADT,03000RP00095  02SSIS49        09,Ramp 9 Fr Ramp 6 To Sulpher Spring Rd,Baltimore,Exit 49 Ramp 9 Fr Ramp 6 (fr Is 695 Eb) To Sulphur Spring Rd Wb,S1999030167,47
S2006010028,1741.00000000,-78.91761590,39.63391431,AADT,01000RP00068  02WWIS34        02,Ramp 2 Fr Is 68 Wb To Md 36 Nb,Allegany,Exit 34 Ramp 2 From Is 68 Wb To Md 36 Nb,S2006010028,48
S2011031015,11431.00000000,-76.69912730,39.26393282,AADT,03000CO02976  01WW**************,Maiden Choice La,Baltimore,Maiden Choice La - Between Md 372 & College Ave,S2011031015,49
S2011020362,6542.00000000,-76.58152972,39.10681758,AADT,02000CO04505  01NN**************,Jumpers Hole Rd,Anne Arundel,Jumpers Hole Rd - South Of East West Hwy,S2011020362,50
B080110,34900.00000000,-76.78261005,38.53710819,AADT,08000MD00005  01NN**************,Leonardtown Rd,Charles,Md5-.30 Mi N Of Md231,B080110,51
B1344,11972.00000000,-76.66242780,38.51003957,AADT,04000MD00231  01EE**************,Hallowing Point Rd,Calvert,Md231-.40 Mi E Of Charles Co/l,B1344,52
S2010020173,10235.00000000,-76.54053794,38.97276483,AADT,02000RP00665  02NNMD2         01,Ramp 1 Fr Md 2 Nb To Md 665 Wb,Anne Arundel,Exit 2 Ramp 1 Fr Md 2 Nb To Md 665 Wb ,S2010020173,53
S2007100037,4444.00000000,-77.25963468,39.38020768,AADT,10000RP00070  02EEIS62        05,Ramp 5 Fr Md 75 Sb To Ramp 4 (to Is 70),Frederick,Exit 62 Ramp 5 Fr Md 75 Sb To Ramp 4 (to Is 70 Eb),S2007100037,54
S2005030037,6352.00000000,-76.66425998,39.41404334,AADT,03000RP00083  02NNIS13        02,Ramp 2 Fr Ramp 7 Fr Is83/is695 To Md25a,Baltimore,Exit 13 Ramp 2 Fr Ramp 7 Fr Is 83/is 695 To Md 25a,S2005030037,55
S2011020877,6282.00000000,-76.56324041,39.16378720,AADT,02000CO01546  01NN**************,Solley Rd,Anne Arundel,Solley Rd - .10 Mile North Of Nabbs Creek Rd,S2011020877,56
S2011030996,5971.00000000,-76.71179758,39.24289714,AADT,03000CO03071  01EE**************,Sulphur Spring Rd,Baltimore,Sulphur Spring Rd - .10 Mile East Of Selford Rd,S2011030996,57
B0945,55580.00000000,-76.74976901,39.28356870,AADT,03000US00040  01EE**************,Balto National Pike,Baltimore,Us40-.20 Mi E Of Rolling Rd,B0945,58
S2010020163,3343.00000000,-76.66075258,39.22548671,AADT,02000RP00695  02NNIS8         01,Ramp 1 Fr Is 695 Nb To Md 969a Wb,Anne Arundel,Exit 8 Ramp 1 Fr Is 695 Nb To Md 969a Wb ,S2010020163,59
B090013,2521.00000000,-76.09213620,38.58115798,AADT,09019MU00520  01SS**************,Glasgow St,Dorchester,Glasgow St-.10 Mi S Of Hambrooks Blvd,B090013,60
B0958,34141.00000000,-76.54658084,39.39903970,AADT,03000MD00041  01NN**************,Perring Pkwy,Baltimore,Md41-.20 Mi N Of Is695,B0958,61
S2004020127,2282.00000000,-76.69522049,39.19839491,AADT,02000RP00195  02SSIS2         05,Ramp 5 Fr Is 195 Sb To Md 295 Eb,Anne Arundel,Exit 2 Ramp 5 Fr Is 195 Sb To Md 295 Eb,S2004020127,62
B1814,2210.00000000,-75.90587716,38.64143671,AADT,09000MD00016  01EE**************,East New Market Ellwood Rd,Dorchester,Md16-.50 Mi S Of Md331,B1814,63
S2006030060,4130.00000000,-76.62944259,39.41549967,AADT,03000RP00695  02NNIS25        04,Ramp 4 Fr Md 139 Nb To Is 695 Eb,Baltimore,Exit 25 Ramp 4 Fr Md 139 Nb To Is 695 Eb,S2006030060,64
S2010020170,543.00000000,-76.61226500,39.20493611,AADT,02000RP00695  02SSMD3A        06,Ramp 6 Fr Ramp 3 (fr Md695 Eb) To Md 711,Anne Arundel,Exit 3a Ramp 6 Fr Ramp 3 (fr Md 695 Eb) To Md 711 ,S2010020170,65
S2010010056,513.00000000,-78.57234221,39.70665974,AADT,01000RP00068  02SSIS56        07,Ramp 7 Fr Md 948am To Is 68 Wb,Allegany,Exit 56 Ramp 7 Fr Md 948am To Is 68 Wb,S2010010056,66
S2011060405,2472.00000000,-77.21765395,39.59467565,AADT,06000CO00214  01EE**************,Middleburg Rd                           ,Carroll,Middleburg Rd - East Of Crouse Mill Rd,S2011060405,67
B1542,3860.00000000,-76.88410429,39.68420731,AADT,06000MD00086  01NN**************,Lineboro Rd,Carroll,Md86-.50 Mi N Of Md30,B1542,68
S2009030142,16220.00000000,-76.75612105,39.31334859,AADT,03000CO02400  01EE**************,Security Blvd,Baltimore,Security Blvd - .05 Mile West Of Rolling Rd,S2009030142,69
S2011020798,3432.00000000,-76.68314407,39.11623427,AADT,02000CO01175  01SS**************,Clark Station Rd,Anne Arundel,Clark Station Rd - Between Maryland Ave & Quarterfield Rd,S2011020798,70
S2009030041,49235.00000000,-76.78512215,39.41511987,AADT,03000MD00940  01NN**************,Owings Mills Blvd,Baltimore,Md 940 - .40 Mile North Of Is 795,S2009030041,71
S2012030000,3881.00000000,-76.80442023,39.42542405,AADT,03000CO00564  01EE**************,Tollgate Rd,Baltimore,Tollgate Rd - .10 Mile East Of Pleasant Hill Rd,S2012030000,72
S2013020556,1740.00000000,-76.50515922,38.89192319,AADT,02000CO03261  01NN**************,Shoreham Beach Rd,Anne Arundel,Shoreham Beach Rd - Between Triton Beach Rd & Cove Rd,S2013020556,73
B0744,11701.00000000,-76.55784005,38.84819905,AADT,02000MD00468  01NN**************,Muddy Creek Rd,Anne Arundel,Md468-.10 Mi S Of Md255,B0744,74
S2010030185,6082.00000000,-76.70540204,39.26278560,AADT,03000RP00695  02WWIS12B       02,Ramp 2 Fr Md 372 To Is 695 Wb,Baltimore,Exit 12b Ramp 2 Fr Md 372 Wb To Is 695 Nb,S2010030185,75
B0618,39692.00000000,-76.61337092,39.19939425,AADT,02000MD00002  01NN**************,Gov Ritchie Hwy,Anne Arundel,Md2-.10 Mi N Of Md710,B0618,76
S2007100064,3460.00000000,-77.53202167,39.36219322,AADT,10000CO00208  01NN**************,Holter Rd,Frederick,Holter Rd - 50ft North Of Md 180,S2007100064,77
P0071,186510.00000000,-76.69903486,39.23953686,AADT,03000IS00095  01NN**************,No Name,Baltimore,Is 95 - .65 Mile North Of Is 195 (atr#71 Includes Atr#92 Sb),P0071,78
S2006020025,4824.00000000,-76.77069376,39.12028874,AADT,02000RP00295  02SSMD5         05,Ramp 5 Fr Md 295 Sb To Nsa Ent,Anne Arundel,Exit 5 Ramp 5 Fr Md 295 Sb To Nsa Entrance,S2006020025,79
B100065,4892.00000000,-77.46000706,39.42212943,AADT,10057MU01545  01NN**************,Waverley Dr,Frederick,Waverley Dr-.20 Mi N Of Us40,B100065,80
P0084,3350.00000000,-75.85070031,39.06544950,AADT,05000MD00313  01NN**************,Goldsboro Rd,Caroline,Md 313 - .22 Mile South Of Queen Anne's County Line (atr#84),P0084,81
S2004020042,2011.00000000,-76.47625351,39.02179218,AADT,02000RP00050  02WWUS28        01,Ramp 1 Fr Bay Dale Dr To Ramp 8(us50 Wb),Anne Arundel,Exit 28 Ramp 1 Fr Bay Dale Dr Nb To Ramp 8 (to Us 50 Wb),S2004020042,82
B1646,9764.00000000,-75.96357462,39.64248345,AADT,07000MD00274  01EE**************,Joseph Biggs Memorial Hwy,Cecil,Md274-.30 Mi W Of Md272,B1646,83
