value,count
11001,17655
24031,16081
51059,15986
24033,12025
24005,11862
24003,11790
24510,8998
51013,7395
24027,6745
51107,6733
51153,5550
24021,4619
24025,4070
24013,3887
51510,3537
24017,2621
24043,2406
24037,1895
24045,1580
24009,1351
51179,1323
24047,1276
24015,1193
51177,1177
51061,1109
51683,1055
24001,886
54037,832
24041,723
51600,704
51610,620
51630,579
24019,444
24035,434
51099,402
24011,388
24039,296
24023,293
51043,273
24029,264
10003,217
10005,194
51685,175
42133,90
-1-1,78
54003,75
42055,69
42000,58
51069,49
10001,48
51001,47
36000,44
42071,41
42001,39
54057,35
42029,34
51087,32
37000,32
51840,29
10000,28
<NULL>,25
36061,24
34000,20
6037,19
12000,18
42101,17
51187,17
51033,16
36035,16
51760,15
42045,14
51085,14
51137,14
6000,13
36067,12
12095,11
48000,11
39000,11
42043,10
42097,10
51047,10
6073,10
51171,9
13000,9
51710,9
54000,9
51550,8
51003,8
42041,8
42111,8
8000,8
99999,8
42037,7
51810,7
42009,7
36083,7
9000,7
51193,7
30111,6
54061,6
37065,6
25000,6
51041,6
18141,6
51199,6
36081,5
34001,5
51540,5
51109,5
12099,5
51770,5
6111,5
33015,4
25009,4
45051,4
51103,4
51820,4
42057,4
17031,4
42091,4
13127,4
42125,4
42027,4
50007,4
17201,4
51700,4
34015,4
32000,4
25013,4
51165,4
6059,4
37133,4
36103,3
34021,3
17097,3
54077,3
42075,3
54065,3
37001,3
51133,3
51139,3
20000,3
51157,3
51155,3
42069,3
51161,3
4019,3
51678,3
6087,3
26000,3
45000,3
55079,3
37131,2
37037,2
37067,2
29189,2
54083,2
34023,2
08031,2
51131,2
06075,2
34013,2
32003,2
36005,2
42031,2
42019,2
48439,2
36059,2
27053,2
22071,2
12005,2
54027,2
37119,2
42035,2
30013,2
17103,2
51730,2
51095,2
51830,2
34005,2
34033,2
27000,2
22000,2
26125,2
47000,2
51065,2
35049,2
9005,2
51053,2
45013,2
40000,2
49000,2
1000,2
51075,2
51125,2
51015,2
18000,2
51111,2
42003,1
20209,1
34009,1
08013,1
54093,1
13067,1
13063,1
34025,1
45041,1
51127,1
42011,1
48201,1
37147,1
34039,1
51113,1
37063,1
36029,1
25025,1
25017,1
27123,1
39093,1
36085,1
42129,1
26163,1
50025,1
9003,1
51147,1
34035,1
51650,1
51057,1
53033,1
51097,1
51680,1
41000,1
34007,1
42025,1
55000,1
53000,1
44000,1
51570,1
37183,1
51005,1
31000,1
51149,1
17000,1
18127,1
12071,1
51197,1
12031,1
4000,1
35000,1
30000,1
51121,1
12057,1
12115,1
51011,1
29000,1
