value,count
11001,17695
24031,16071
51059,16005
24033,12086
24005,11866
24003,11829
24510,9011
51013,7420
24027,6761
51107,6757
51153,5565
24021,4636
24025,4065
24013,3901
51510,3564
24017,2632
24043,2407
24037,1896
24045,1583
24009,1361
51179,1322
24047,1252
24015,1192
51177,1181
51061,1109
51683,1061
24001,894
54037,827
24041,716
51600,698
51610,622
51630,580
24019,445
24035,424
51099,402
24011,388
24023,296
24039,295
51043,274
24029,262
10003,217
10005,196
51685,175
42133,88
-1-1,84
54003,72
42055,63
51069,53
10001,48
51001,47
42071,39
42029,37
42001,35
42000,33
54057,32
51840,26
51087,21
51760,21
36061,21
6037,19
36000,18
51033,16
42045,16
36035,16
42101,15
51187,14
51047,13
36067,12
42043,11
12000,11
39000,11
51137,10
6073,10
51085,9
51710,8
51003,8
42041,8
42097,8
42111,8
<NULL>,8
42037,7
42009,7
54061,7
51193,7
10000,7
51171,7
51041,7
37000,7
12095,6
51550,6
42091,6
37065,6
36083,6
51109,6
6000,6
18141,6
34001,5
51139,5
13000,5
34000,5
12099,5
17000,5
45000,5
6111,5
33001,4
33015,4
51103,4
51820,4
42057,4
13127,4
27053,4
42027,4
50007,4
51540,4
17201,4
21000,4
51830,4
8000,4
26000,4
51770,4
6059,4
37133,4
42003,3
17097,3
54077,3
42075,3
45051,3
54065,3
37001,3
30111,3
42125,3
54027,3
25000,3
99999,3
27000,3
6087,3
51133,3
37131,2
37037,2
08013,2
08031,2
51131,2
51810,2
54093,2
06075,2
32003,2
17031,2
51113,2
53033,2
48439,2
34013,2
22071,2
12005,2
37119,2
17103,2
51157,2
48000,2
51680,2
34005,2
42069,2
51161,2
34033,2
32000,2
34015,2
4019,2
8067,2
51678,2
9005,2
25013,2
54000,2
51009,2
22000,2
51700,2
55079,2
12071,1
34021,1
34023,1
54083,1
01073,1
13067,1
13063,1
45035,1
51127,1
42011,1
06037,1
25025,1
27123,1
36059,1
36085,1
30013,1
26163,1
33005,1
50025,1
9003,1
51135,1
5000,1
49000,1
18000,1
34007,1
42025,1
55000,1
41000,1
53000,1
34017,1
51199,1
51149,1
27027,1
54081,1
51079,1
9000,1
51053,1
4000,1
12109,1
12031,1
51660,1
31000,1
51121,1
12057,1
12097,1
1000,1
42081,1
